"Part Number","Library Ref","Capacitance","Voltage Rating (DC)","Tolerance","ESR (Equivalent Series Resistance)","Dielectric","Description","Diameter","Footprint Ref","Height","HelpURL","Manufacturer","Manufacturer Part Number","Max Operating Temperature","Mount","Polarity","Status","RoHS","Ripple Current"
"CE_220UF_25V_6.3x11x2.5_LESR_20","CE","220uF","25V","20%","0","AL2O3","Polarized Capacitor","0mm","C_R6.3x11x2.5","0mm","http://www.tme.eu/pl/Document/9fe41abe6e7b7973ea4089f212d099cc/E-GF_series.pdf","Samxon","GF 220U/25V",,"Through Hole",,,,
"CE_680UF_16V_10x16x5_LESR_20","CE","680µF","16V","20%","0","AL2O3","Polarized Capacitor","0mm","C_10x16x5","0mm","http://www.tme.eu/pl/Document/03efc9a050846e2e56a9cbbb3a5dd471/EEUFC0J221.pdf","Panasonic","EEUFC1C681",,"Through Hole",,,,
"CE_68UF_450V_12.5x40x5_20","CE","68µF","450V","20%","0","AL2O3","Polarized Capacitor","0mm","C_12.5x35x5","0mm","http://www.farnell.com/datasheets/1910942.pdf","Rubycon","450QXW68MEFC12.5X40",,"Through Hole",,,,
"EEE-1EA471P","CE","470uF","25V","20%","0.36","AL2O3","Cap Aluminum Lytic 470uF 25V 20% (10 X 10.2mm) SMD 380mA 2000h 85C T/R","10mm","CE_G_10X10MM","10.2mm","https://datasheet.octopart.com/EEE-1EA471P-Panasonic-datasheet-13265900.pdf","Panasonic","EEE-FK1E330P","85","Surface Mount","Polar",,,
"EEE-FK1E330P","CE","33uF","25V","20%","0.36","AL2O3","Aluminum Electrolytic Capacitor, 33UF, 20%, 25V, SMD, Full Reel","6.3mm","CE_D_6X5MM","5.8mm",,"Panasonic","EEE-FK1E330P","105","Surface Mount","Polar",,,
"EEE-FK1H221GP","CE","220uF","50V","20%","0.18","AL203","CAP ALUM 220UF 20% 50V SMD","10mm","CE_G_10X10MM","10.2mm","https://datasheet.octopart.com/EEE-FK1H221GP-Panasonic-datasheet-8854493.pdf","Panasonic","EEE-FK1H221GP","105","Surface Mount,PCB","Polar",,,
"EEV-EB2E470M ","CE","47uF","250V","20%",,"Al2O3","Aluminum Electrolytic Capacitor","16mm","CE_16MMX21.5MM","21.5mm","https://datasheet.octopart.com/EEV-EB2E470M-Panasonic-datasheet-13275122.pdf","Panasonic","EEV-EB2E470M","105","Surface Mount","Polar","MK","Compliant","710mA"
"LLS2E391MELA","CE","390uF","250V","20%",,"Al2O3","Aluminum Electrolytic Capacitor","25mm","CE_25X30MM","30mm","http://datasheet.octopart.com/LLS2E391MELA-Nichicon-datasheet-12514693.pdf","Nichicon","LLS2E391MELA","85","Through Hole","Polar","MK","Compliant","1.88A"
"LLS2V221MELZ","CE","220uF","350V","20%",,"Al2O3","Aluminium Electrolytic Capaitor","22mm","CE_22X35MM","35mm","https://datasheet.octopart.com/LLS2V221MELZ-Nichicon-datasheet-5320373.pdf","Nichicon","LLS2V221MELZ","85","Through Hole","Polar","MK",,
"UWX1C101MCL1GB","CE","100uF","16V","20%","0","AL2O3","Aluminum Electrolytic Capacitor","6.3mm","CE_D_6X5MM","5.5mm","https://datasheet.octopart.com/UWX1C101MCL1GB-Nichicon-datasheet-62308445.pdf","Nichicon","UWX1C101MCL1GB","85","Surface Mount",,,,
