"Part Number","Library Ref","Manufacturer","Manufacturer Part Number","Description","Gender","Mount","Number of Rows","Series","Current Rating","Height","HelpURL","Housing Material","Max Operating Temperature","Number of Pins","Orientation","Pitch","Polarization","RoHS","Row Spacing","Voltage Rating","Footprint Ref","Wire AWG","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Status"
"10127850-101TRLF","HEADER_1X1","Amphenol","10127850-101TRLF","WTB IDC Terminal","Receptacle","Surface Mount","1","Griplet",,,"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10127850.pdf",,"125","1","Horizontal","5mm","No","Compliant",,,"10127850-X01XXXX",,,,,
"653002113322","653002113322","Wurth","653002113322","Female Terminal Housing","Plug","Cable Mount","1","WR-WTB",,"3.2mm","https://katalog.we-online.com/em/datasheet/6530xx113322.pdf","PA66","85","2","Horizontal","1.25mm","Yes","Compliant",,"125VAC",,,"eiSos","653002113322","0.065",
"653003113322","653003113322","Wurth","653003113322","Female Terminal Housing","Plug","Cable Mount","1","WR-WTB",,"3.2mm","https://katalog.we-online.com/em/datasheet/6530xx113322.pdf","PA66","85","3","Horizontal","1.25mm","Yes","Compliant",,"125VAC",,,"eiSos","653003113322","0.0845",
"653004113322","653004113322","Wurth","653004113322","Female Terminal Housing","Plug","Cable Mount","1","WR-WTB",,"3.2mm","https://katalog.we-online.com/em/datasheet/6530xx113322.pdf","PA66","85","4","Horizontal","1.25mm","Yes","Compliant",,"125VAC",,,"eiSos","653004113322","0.0885",
"65310113722","65310113722","Wurth","65310113722","Female Crimp Contact","Contact","Cable Mount","1","WR-WTB","1A",,"https://katalog.we-online.de/em/datasheet/65310113722.pdf","Copper Alloy","85","1",,"1.25mm","No","Compliant",,"125V AC","65310113722",,,,,
"653102131822","HEADER_1X2","Wurth","653102131822","Male Horizontal Shrouded Header","Receptacle","Surface Mount","1","WR-WTB","1A","3.4mm","https://katalog.we-online.de/em/datasheet/6531xx131822.pdf","PA46","85","1","Horizontal","1.25mm","Yes","Compliant",,"125VAC","653102131822",,"eiSos","653102131822","0.16775",
"653103131822","HEADER_1X3","Wurth","653103131822","Male Horizontal Shrouded Header","Receptacle","Surface Mount","1","WR-WTB","1A","3.4mm","https://katalog.we-online.com/em/datasheet/6531xx131822.pdf","PA46","85","3","Horizontal","1.25mm","Yes","Compliant",,"125VAC","653103131822",,"eiSos","653103131822","0.2395",
"653104131822","HEADER_1X4","Wurth","653104131822","Male Horizontal Shrouded Header","Receptacle","Surface Mount","1","WR-WTB","1A","3.4mm","https://katalog.we-online.de/em/datasheet/6531xx131822.pdf","PA46","85","4","Horizontal","1.25mm","Yes","Compliant",,"125V AC","653104131822",,"eiSos","653104131822","0.3195",
"709176001432006","9176-AVX","AVX","709176001432006","Single IDC Contact 24AWG","Receptacle","Surface Mount","1","9176",,"2.75mm","https://datasheet.octopart.com/709176001443006-AVX-Interconnect---Elco-datasheet-11535168.pdf",,,"1",,"5mm","No","Compliant",,,"709176001432006","24 AWG",,,,
"709176001443006","9176-AVX","AVX","709176001443006","Single IDC Contact 26AWG","Receptacle","Surface Mount","1","9176",,"2.75mm","https://datasheet.octopart.com/709176001443006-AVX-Interconnect---Elco-datasheet-11535168.pdf",,,"1",,"5mm","Mo","Compliant",,,"709176001443006","26 AWG",,,,
"S2B-PH-SM4-TB(LF)(SN)","HEADER_1X2","JST","S2BPHSM4TBLFSN","Connector Header","Receptacle","Surface Mount","1","PH","2A","6mm","http://datasheet.octopart.com/S2B-PH-SM4-TB%28LF%29%28SN%29-JST-datasheet-10411123.pdf","Nylon","85","2","Horizontal","2mm","Yes","Compliant",,"100V","S2B-PH-SM4-TB(LF)(SN)",,,,,
