"Part Number","Library Ref","Case/Package","Color","Manufacturer Part Number","Description","Manufacturer","Mount","Height","HelpURL","Max Operating Temperature","RoHS","Status","Footprint Ref","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"APG1608SURKC/T","APG1608SURKC/T","0603","Red","APG1608SURKC/T","LED_RED","Kingbright","Surface Mount","0mm",,"0°C",,,,,,
"APT2012SRCPRV","APT2012SRCPRV","0805","Red","APT2012SRCPRV","LED_RED","Kingbright","Surface Mount","0mm",,"0°C",,,,,,
"LR-T68F-U1AA-1-1-Z","LR-T68F-U1AA-1-1-Z","PLCC2","Red","LR-T68F-U1AA-1-1-Z","LED_RED","Osram Opto","Surface Mount","0mm",,"0°C",,,,,,
"LTST-S220EKT","LTST-S220EKT","0805","Red","LTST-S220EKT","LED_RED","Lite-On","Surface Mount","0mm",,"0°C",,,,,,
"OL_R_0603","OL_R_0603","0603","Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_0805","OL_R_0805","0805","Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_0805_0C003_LTST-C171EKT","OL_R_0805_0C003_LTST-C171EKT","0805","Red","LTST-C171EKT","LED_RED","Lite-On","Surface Mount","0mm","http://datasheet.octopart.com/LTST-C171EKT-Lite-On-datasheet-158503.pdf","0°C",,,,,,
"OL_R_0805RA","OL_R_0805RA","0805","Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_1208RA","OL_R_1208RA","1208","Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_32X24X24","OL_R_32X24X24",,"Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_5MM","OL_R_5MM",,"Red",,"LED_RED",,"Through Hole","0mm",,"0°C",,,,,,
"OL_R_A676_RA","OL_R_A676_RA",,"Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OL_R_PLCC2","OL_R_PLCC2","PLCC2","Red",,"LED_RED",,"Surface Mount","0mm",,"0°C",,,,,,
"OSR50603C1E","OSR50603C1E","0603","Red","OSR50603C1E","LED_RED","Optosupply","Surface Mount","0mm",,"0°C",,,,,,
