"Part Number","Library Ref","Color","Description","Case/Package","Manufacturer Part Number","Forward Current","Case Code (Imperial)","Forward Voltage","Manufacturer","Luminous Flux","Mount","Power Rating","Footprint Ref","Height","HelpURL","Lead Free","Length","Max Operating Temperature","Min Operating Temperature","Status","Number of Pins","REACH SVHC","RoHS","Width","CRI","CCT"
"ASMT-CW00","ASMT-CW00",,,"0603","ASMT-CW00","0A","0603","0V","Broadcom Avago",,,"0W","OL_0603_1608_RA","0mm",,,"0mm","0°C","0°C",,,,,"0mm",,
"C503C-WAS-CBBDB151","C503C-WAS-CBBDB151","White","Standard LEDs - Through Hole White Round LED","Radial","C503C-WAS-CBBDB151","20mA",,"3.2V","Cree",,"Through Hole","120mW","OL_5MM_T","3.8mm","https://datasheet.octopart.com/C503C-WAS-CBBDB151-Cree-datasheet-62316245.pdf","Lead Free","0mm","95°C","-40°C",,"2","Unknown","Compliant","0mm",,
"CLM3C-WKW-CWBYA453","CLM3C-WKW-CWBYA453",,,"PLCC2","CLM3C-WKW-CWBYA453","0A",,"0V","Cree",,,"0W","OL_PLCC2_3X2X13","0mm",,,"0mm","0°C","0°C",,,,,"0mm",,
"CMA1840-0000-000N0B0A65E","OL_W","White","Cree® XLamp® CMA1840 LED","CMA1840","CMA1840-0000-000N0B0A65E","2.3A",,"34.7V","Cree","6114lm",,"87W","CMA1840","1.15mm","https://www.cree.com/led-components/media/documents/ds-CMA1840.pdf","Lead Free","18mm","140",,"MK","2","Unknown","Compliant","18mm","70","6500K"
"CMA1840-0000-000N0H0A65E","OL_W","White","Cree® XLamp® CMA1840 LED","CMA1840","CMA1840-0000-000N0H0A65E","2.3A",,"34.7V","Cree","5712lm",,"87W","CMA1840","1.15mm","https://www.cree.com/led-components/media/documents/ds-CMA1840.pdf","Lead Free","18mm","140",,"MK","2","Unknown","Compliant","18mm","80","6500K"
"CMA1840-0000-000N0U0A50G","OL_W","White","Cree® XLamp® CMA1840 LED","CMA1840","CMA1840-0000-000N0U0A50G","2.3A",,"34.7V","Cree","4957lm",,"87W","CMA1840","1.15mm","https://www.cree.com/led-components/media/documents/ds-CMA1840.pdf","Lead Free","18mm","140",,"MK","2","Unknown","Compliant","18mm","90","5000K"
"CMA1840-0000-000N0Z0A27H","OL_W","White","Cree® XLamp® CMA1840 LED","CMA1840","CMA1840-0000-000N0Z0A27H","2.3A",,"34.7V","Cree","3717lm",,"87W","CMA1840","1.15mm","https://www.cree.com/led-components/media/documents/ds-CMA1840.pdf","Lead Free","18mm","140",,"MK","2","Unknown","Compliant","18mm","95","2700K"
"CMA1840-0000-000N0Z0AL5A","OL_W","White","Cree® XLamp® CMA1840 LED","CMA1840","CMA1840-0000-000N0Z0AL5A","2.3A",,"34.7V","Cree","4315lm",,"87W","CMA1840","1.15mm","https://www.cree.com/led-components/media/documents/ds-CMA1840.pdf","Lead Free","18mm","140",,"MK","2","Unknown","Compliant","18mm","95","4000K"
"LTW-170TK","LTW-170TK",,,"0805","LTW-170TK","0A","0805","0V","Vishay Lite-On",,,"0W","OL_0805_2012","0mm",,,"0mm","0°C","0°C",,,,,"0mm",,
"LWQ38G-Q1OO-3K6L-1","LWQ38G-Q1OO-3K6L-1",,,"0603","LWQ38G-Q1OO-3K6L-1","0A","0603","0V","Osram Opto",,,"0W","OL_0603_1608","0mm",,,"0mm","0°C","0°C",,,,,"0mm",,
"OL_W_XB-D","OL_W_XB-D","White","LED_WHITE",,,"0A",,"0V",,,"Surface Mount","0W","OL_XB-D_2X2X18","0mm",,,"0mm","0°C","0°C",,"2",,,"0mm",,
"XD16AWT-H0-0000-000000JDV","XD16AWT-H0-0000-000000JDV","White","Cree® XLamp® XD16 LED","XD16","XD16AWT-H0-0000-000000JDV","2A",,"2.9V","Cree",,"Surface Mount","6W","XD16","780µm","https://www.cree.com/led-components/media/documents/ds-XD16.pdf","Lead Free","1.6mm","150°C","0°C","layers changes","2",,"Compliant","1.6mm",,
